nation,code,rating,zoom
United States of America,US,Supersized Country With Excessive Force,1
China,CN,You Are Always Being Tracked,4
Japan,JP,Everything Is A Robot,5
Germany,DE,Don't Mention Hitler,5
United Kingdom,GB,Cloudy And Boring America Wannabe,5
France,FR,Baguettes Are Pointy Safety Hazards,5
India,IN,Don't Bring Up Pakistan,4
Italy,IT,No New York Slices But Yes Mario,5
Brazil,BR,Alexa Play Vamos A La Playa,4
Canada,CA,Death By Kindness Or Maple Syrup,3
Russia,RU,No Water Just Alcohol Comrade,3
South Korea,KR,Depends How Far North,7
Australia,AU,Snakes Spiders And Fires,4
Spain,ES,Food And Siestas,6
Mexico,MX,No Taco Bells But Still Fun,4
Indonesia,ID,Islands Are Healthy In Moderation,5
Netherlands,NL,Not For Canal-phobics,7
Saudi Arabia,SA,Burn Money Like It's Oil,5
Turkey,TR,Crazy Kebab Lovers,5
Switzerland,CH,Too Much Chocolate And Peace,7
Poland,PL,Actually Owned By Germany,6
Taiwan,TW,Boba Is A Choking Hazard,7
Sweden,SE,IKEA And Meatballs,4
Belgium,BE,Architecture... I Guess,7
Argentina,AR,They Don't Play Nice,4
Thailand,TH,Just A Big Elephant Petting Zoo,6
Austria,AT,Mountains And Nothing Else,6
Iran,IR,Definitely Not A Good Idea Now,5
Norway,NO,Vikings and Stinky Fish,4
United Arab Emirates,AE,Please Buy Our Website,7
Nigeria,NG,Mosquitoes Are The Spawn Of Satan,6
Ireland,IE,Land Of Potato Lovers,6
Israel,IL,Nice People But Confusing History,6
South Africa,ZA,Diamonds For Free At Costco,5
Singapore,SG,Fancy Tall Buildings With Rich People,10
Hong Kong,HK,Now Might Not Be The Best Time,10
Malaysia,MY,Singapore's Father,5
Denmark,DK,Everything Built In LEGOs,6
Philippines,PH,Nice When There Are No Volcanic Tsunamis,5
Colombia,CO,The Other Type Of Businessmen,5
Pakistan,PK,Not A Fan Of Anything India,5
Chile,CL,Long Country With Protestors,3
Bangladesh,BD,Probably Underwater By Next Week,6
Finland,FI,Cold But Finnish,4
Egypt,EG,Hot Sand And Triangles,5
Czech Republic,CZ,Beer and... Beer,7
Vietnam,VN,Watch Out For Talking Trees,5
Romania,RO,Yes Vampires Exist,6
Portugal,PT,Basically Spain,6
Iraq,IQ,US V Iran Battlefront,5
Peru,PE,Old Mountain Ruins And Llamas,4
Greece,GR,May Lose Money To Help Economy,6
New Zealand,NZ,Kiwis Are Cool,5
Qatar,QA,Money Is No Object Here,8
Algeria,DZ,Big Morocco Less Tourists,4
Kazakhstan,KZ,The Stan That Starts With K,4
Hungary,HU,No I Just Ate... Sorry,7
Kuwait,KW,Oil Dealers And Expensive Hotels,8
Ukraine,UA,Nuclear Wasteland,5
Morocco,MA,Desert But Nice Desert,5
Ecuador,EC,Too Close To The Sun,6
Slovak Republic,SK,Honestly Just A Russian Satellite,7
